TIMESTAMP,TOKEN,USD_PRICE
2023-06-14 20:06:24,BTC,25125.73
2023-03-15 02:14:41,BNB,307.33
2024-03-10 14:00:36,BNB,529.27
2022-11-02 17:49:47,USDT,0.9998
2023-10-25 12:54:45,BNB,222.15
2023-03-28 20:35:16,FTM,0.4231
2024-04-21 12:03:44,sbGMX,0.0
2023-03-28 22:37:11,wstETH,0.0
2023-03-31 06:35:27,variableDebtWBNB,0.0
2023-03-31 04:31:34,BNB,316.92
2023-09-10 07:57:10,EGLD,23.56
2023-03-23 07:31:24,ETH,1817.43
2024-01-01 14:03:12,BNB,313.67
2022-10-18 18:46:11,AVAX,15.87
2022-07-19 11:02:39,FTM,0.3401
2022-07-19 13:26:38,BTC,23399.91
2024-07-05 04:19:39,GMX,24.35
2023-04-08 01:22:39,GLP,0.0
2023-04-06 16:34:58,ETH,1872.91
2024-08-29 09:11:42,GMX,25.72
2023-04-01 22:13:08,ETH,1821.79
2022-08-09 09:01:47,USDT,1.001
2023-04-06 03:02:24,GLMR,0.38
2022-04-20 10:48:36,SOL,105.59
2022-09-17 17:33:48,stDOT,0.0
2023-05-09 14:55:46,POL,0.0
2023-04-08 20:51:06,BNB,310.57
2022-06-01 10:54:38,ETH,1817.42
2022-09-29 12:38:08,USDT,1.0
2023-06-02 20:51:03,EUR,1.07
2022-06-08 20:07:07,WMATIC,0.0
2023-09-17 12:09:01,sAVAX,0.0
2022-10-31 02:02:31,LINK,7.858
2023-08-18 06:25:27,FTM,0.1999
2022-09-17 15:20:05,EUR,1.0
2022-12-12 20:14:42,OSMO,0.9349
2023-04-08 01:22:39,ETH,1849.91
2022-06-24 22:20:01,ETH,1224.12
2022-06-25 03:56:45,USDT,0.9991
2022-06-01 11:14:37,EUR,1.065
2023-05-17 16:59:24,wADAX,0.0
2023-03-28 17:47:37,CyOp,0.0
2023-05-24 17:01:51,ETH,1799.99
2023-08-04 21:28:31,EUR,1.096
2023-03-28 22:22:14,ETH,1773.6
2023-05-08 18:00:01,USDT,1.004
2022-07-20 20:34:26,SOL,42.03
2023-04-22 03:16:34,DYDX,2.544
2023-04-28 01:55:06,BNB,324.21
2023-04-08 20:57:45,rWBNB,0.0
2024-03-10 13:59:54,BNB,529.27
2023-08-19 19:32:10,FTM,0.2079
2023-06-10 17:21:14,ATOM,8.248
2022-11-21 02:09:35,BNB,253.56
2024-09-10 17:28:55,BOOM,0.0
2023-03-31 04:34:41,BNB,316.92
2023-03-31 04:02:41,BNB,316.92
2023-04-18 16:42:29,ETH,2104.71
2022-12-11 19:19:43,CHZ,0.1437
2023-04-12 18:17:40,ETH,1918.62
2022-07-11 20:28:11,mooRipaepMATIC-MATIC,0.0
2024-04-02 08:51:49,GMX,39.83
2022-07-20 20:33:58,BNB,258.27
2023-04-06 00:31:00,mooStellaxcDOT-GLMR,0.0
2022-12-12 02:54:18,BNB,276.03
2023-11-06 00:28:47,USDT,1.0
2023-11-24 21:05:55,ETH,2082.24
2023-07-13 22:10:10,ATOM,9.897
2022-11-03 15:43:34,SOL,30.85
2023-03-31 06:39:42,RDNT,0.0
2023-10-23 00:36:04,ETH,1766.32
2022-06-13 15:24:36,AVAX,16.09
2024-03-19 10:09:42,ETH,3158.44
2023-03-12 19:27:16,USDT,1.009
2023-04-10 06:27:27,ETH,1911.14
2024-07-29 23:22:17,BNB,574.27
2023-03-28 22:32:11,ETH,1773.6
2023-04-16 15:41:33,BNB,347.8
2023-07-08 00:37:15,ETH,1865.62
2023-05-31 17:15:13,ETH,1874.03
2024-01-21 12:01:55,BNB,318.59
2024-08-22 21:11:06,BNB,583.04
2023-04-08 21:00:09,BNB,310.57
2023-08-19 19:32:12,FTM,0.2079
2022-06-01 11:06:42,ETH,1817.42
2023-03-23 07:48:23,ETH,1817.43
2023-04-09 01:57:37,ETH,1859.73
2022-09-13 18:48:20,BNB,277.5
2024-03-05 21:39:41,USDT,1.001
2023-04-08 20:58:51,variableDebtWBNB,0.0
2023-04-22 06:11:38,ETH,1874.58
2023-04-10 06:53:03,GLP,0.0
2024-05-26 13:31:35,ETH,3824.34
2024-04-21 12:05:49,ETH,3148.11
2023-03-31 06:19:19,BNB,316.92
2024-03-04 20:39:15,ETH,3631.85
2022-06-01 13:03:14,ETH,1817.42
2024-07-06 22:04:32,fsGLP,0.0
2023-04-08 19:52:38,ARB,1.162
2023-04-10 06:38:45,GLP,0.0
2023-12-16 14:02:56,MAGIC,0.8816
2023-04-06 02:44:06,GLMR,0.38
2022-08-10 15:16:07,LINK,9.062
2023-03-16 19:17:47,ETH,1676.86
2023-08-03 11:36:19,USDT,0.9993
2023-05-20 05:49:12,ETH,1820.0
2023-04-06 19:40:01,RDNT,0.0
2023-03-28 19:52:38,mooRipaePFTM-FTM,0.0
2022-07-08 08:58:58,BUSD,1.001
2023-04-06 21:17:11,RDNT,0.0
2023-11-23 00:02:27,MAGIC,0.6783
2024-03-11 07:27:59,ETH,4065.75
2022-05-02 11:26:08,EUR,1.051
2023-05-12 01:33:06,MAGIC,0.87
2022-11-09 21:10:25,BUSD,0.9961
2024-05-16 18:57:31,Cake-LP,0.0
2022-11-06 02:46:40,CHZ,0.2734
2023-03-16 18:07:32,BNB,329.91
2022-11-09 21:53:32,EUR,0.9961
2023-08-19 19:42:30,FTM,0.2079
2022-11-02 17:49:47,BNB,320.23
2022-04-20 10:43:26,SOL,105.59
2022-12-16 22:38:55,USDT,1.002
2022-11-29 00:31:08,BNB,295.28
2023-04-07 23:11:00,EUR,1.09
2022-10-29 15:39:16,EUR,0.9972
2024-01-12 15:13:57,ETH,2522.11
2023-05-21 15:44:05,AVAX,14.32
2023-12-03 16:51:07,ETH,2193.78
2022-06-08 17:34:54,mooStellaxcDOT-GLMR,0.0
2023-04-10 06:38:45,LINK,7.347
2023-01-15 19:33:02,USDT,1.0
2023-07-30 09:28:10,MATIC,0.6974
2023-07-19 11:12:43,MAGIC,0.7699
2022-07-12 19:17:20,BNB,220.23
2024-01-12 15:10:08,ETH,2522.11
2022-08-01 12:09:52,ETH,1630.62
2022-08-03 00:41:01,SOL,38.57
2024-02-03 17:54:37,ETH,2295.87
2024-04-16 12:35:25,z0ezETH,0.0
2023-01-26 00:47:55,Reward Token. Claim reward at https://pusd.site,0.0
2023-09-03 11:42:04,ETH,1635.72
2022-12-19 23:48:45,BNB,240.61
2023-05-22 06:35:57,ETH,1817.83
2022-08-23 18:13:08,EUR,0.9965
2023-04-12 18:18:05,fsGLP,0.0
2022-11-03 15:43:34,USDT,0.9998
2022-04-27 16:17:02,EUR,1.056
2022-06-25 00:11:50,USDT,0.9991
2024-03-10 14:00:36,RDNT,0.393
2024-05-26 15:15:47,Visit uniget.xyz to swap to USDT,0.0
2024-09-28 11:34:15,BNB,601.12
2023-10-21 00:20:11,aMATICc,0.0
2022-09-16 22:34:47,EUR,1.001
2023-03-15 02:14:41,AVAX,15.61
2023-10-22 09:50:34,BNB,217.72
2023-06-05 17:44:37,BNB,277.22
2024-03-02 19:35:41,SNX,4.624
2023-02-22 01:55:41,USDT,1.0
2023-07-13 23:09:11,AVAX,14.11
2024-03-02 20:34:27,SNX,4.624
2023-09-10 07:57:10,BTC,25833.67
2023-09-01 19:44:48,BTC,25798.79
2023-05-25 10:44:50,ETH,1806.04
2023-03-05 02:50:24,BNB,288.7
2023-03-28 15:21:25,BNB,313.29
2023-05-17 16:24:30,AXL,0.5038
2024-03-28 09:25:51,Visit https://www.toros.cash to claim rewards.,0.0
2023-11-16 07:39:20,BNB,242.52
2023-05-09 12:46:41,FTM,0.3707
2024-09-28 11:34:15,rWBNB,0.0
2023-04-06 02:44:06,WGLMR,0.0
2023-04-18 13:43:41,MATIC,1.172
2023-08-04 20:08:23,sTND,0.0
2023-04-12 18:19:28,ETH,1918.62
2023-09-03 11:35:01,rUSDT,0.0
2023-01-17 19:43:55,LINK,6.809
2023-04-14 14:38:48,ETH,2101.73
2023-08-13 09:18:25,BTC,29281.55
2023-10-22 08:05:33,AAVE,79.26
2023-09-17 18:44:41,BTC,26533.12
2023-10-22 09:50:43,LINK,10.2
2023-08-24 16:37:25,wRDNT,0.0
2023-03-05 02:45:52,USDT,1.0
2023-06-03 00:53:08,EUR,1.07
2023-03-12 19:27:16,BNB,290.61
2023-05-12 20:07:03,MAGIC,0.87
2023-04-06 03:32:00,GLMR,0.38
2023-07-05 12:51:25,MATIC,0.6703
2023-04-12 17:16:31,AVAX,18.26
2023-04-05 21:43:58,wHEX,0.0
2022-12-11 19:33:27,GRT,0.06933
2023-07-30 09:28:10,EUR,1.102
2023-05-21 16:39:14,ETH,1805.38
2023-09-03 11:35:01,ETH,1635.72
2023-05-21 16:39:14,sTND,0.0
2023-08-11 20:52:23,CyOp,0.0
2023-09-17 21:02:57,EUR,1.067
2023-08-13 09:18:08,BTC,29281.55
2023-04-06 02:49:24,AVAX,17.99
2023-04-12 18:42:47,AVAX,18.26
2023-07-04 00:04:09,MAGIC,0.8347
2022-12-16 19:23:40,EGLD,39.33
2023-01-15 03:29:12,BNB,302.03
2023-03-30 19:03:56,USDC,1.0
2022-11-25 22:33:58,AAVE,59.1
2023-04-06 02:34:54,WETH,0.0
2023-08-04 21:28:31,AAVE,64.14
2024-06-25 20:32:08,USDT,0.9999
2024-01-18 07:45:15,MAGIC,1.094
2023-03-23 07:24:55,ETH,1817.43
2023-04-06 02:56:54,GLMR,0.38
2022-08-06 18:06:27,USDT,1.002
2023-05-18 16:25:41,Cake,1.85
2022-12-16 22:38:51,ATOM,8.566
2023-05-12 01:32:48,BTC,26807.09
2023-05-01 05:00:24,xcDOT,0.0
2023-02-21 18:56:34,DAI,0.9999
2024-07-05 15:51:41,USDT,1.0
2023-08-18 20:37:39,MATIC,0.5775
2023-06-13 06:48:57,BNB,244.1
2023-01-31 19:22:37,BNB,312.11
2024-07-29 23:25:32,Fyde Points (Claim: www.fyde.cc),0.0
2023-04-06 16:34:37,ETH,1872.91
2023-04-11 05:40:50,ETH,1891.5
2023-04-06 02:49:24,GLMR,0.38
2022-07-19 13:35:50,BUSD,1.0
2023-07-04 00:06:03,ETH,1936.37
2023-08-18 06:25:27,EUR,1.081
2023-01-14 02:19:10,SOL,24.24
